Frame,Cell_125,Cell_129,Cell_132,Cell_133,Cell_134,Cell_136,Cell_137,Cell_139,Cell_141,Cell_142,Cell_143,Cell_144,Cell_145,Cell_147,Cell_148,Cell_149,Cell_150,Cell_152,Cell_154,Cell_158,Cell_162,Cell_163,Cell_164,Cell_165,Cell_166,Cell_167,Cell_168,Cell_170,Cell_171,Cell_174,Cell_175,Cell_176,Cell_177,Cell_182,Cell_183,Cell_185,Cell_187,Cell_188,Cell_189,Cell_190,Cell_192,Cell_194,Cell_195,Cell_196,Cell_197,Cell_198,Cell_199,Cell_201,Cell_203,Cell_206,Cell_207,Cell_209,Cell_211,Cell_212,Cell_214,Cell_215,Cell_216,Cell_219,Cell_221,Cell_223,Cell_224,Cell_227,Cell_228,Cell_229,Cell_230,Cell_231,Cell_232,Cell_233,Cell_234,Cell_235,Cell_237,Cell_240,Cell_241,Cell_242,Cell_244,Cell_245,Cell_247,Cell_248,Cell_249,Cell_250,Cell_252,Cell_254,Cell_255,Cell_256,Cell_257,Cell_258,Cell_259,Cell_260,Cell_261,Cell_264,Cell_265,Cell_268,Cell_269,Cell_273,Cell_274,Cell_275,Cell_276,Cell_277,Cell_279,Cell_280
0,352.81972789115645,731.5464285714286,518.4624505928854,521.9888888888889,832.1356932153392,181.2064056939502,543.7189781021898,843.7417840375587,363.7509578544061,370.31164383561645,275.8165938864629,276.3738019169329,431.3276595744681,746.1807228915662,985.1565217391304,955.1317073170732,378.58899676375404,446.9475806451613,851.5972222222222,630.6819672131147,432.7317073170732,767.3018867924528,202.96234309623432,800.8646616541354,371.0696517412935,422.3142857142857,1215.0697674418604,492.1142857142857,286.96135265700485,486.36032388663966,285.7686567164179,545.5852713178294,389.81957186544344,691.9844357976654,834.7154150197629,97.83823529411765,639.3161512027491,827.1698841698842,311.24418604651163,374.9581881533101,778.4166666666666,364.17525773195877,795.941935483871,63.84848484848485,514.2924187725632,1300.781954887218,286.47808764940237,343.57950530035333,819.2987012987013,268.4433497536946,416.2,325.7014925373134,387.88196721311476,298.4387351778656,450.6195652173913,352.9529411764706,446.01,248.68379446640316,498.2880434782609,343.1031390134529,226.82478632478632,326.30534351145036,212.66350710900474,683.195020746888,584.531914893617,672.0934579439253,671.9074074074074,331.7056277056277,220.84046692607004,906.8986784140969,522.5411764705882,321.9633507853403,227.74311926605503,734.6150234741784,836.8096774193548,482.9178082191781,825.1660516605166,1041.6931216931216,194.76231884057972,739.1162790697674,266.5076923076923,200.5132743362832,204.62962962962962,124.33734939759036,479.4014869888476,204.05109489051094,507.8375,1017.4108108108109,266.1923076923077,571.8866995073892,302.6478873239437,352.56779661016947,300.5329341317365,1174.7705479452054,260.83539094650206,574.4044117647059,945.3574879227053,330.51206434316356,234.66898954703834,1369.2512315270935
1,397.13945578231295,363.7392857142857,596.7233201581028,471.56296296296296,872.5752212389381,177.76512455516016,638.3029197080292,1056.887323943662,492.97318007662835,417.97945205479454,341.53711790393015,252.06070287539936,735.4978723404255,735.5,1045.004347826087,919.1219512195122,340.8381877022654,412.8790322580645,852.9861111111111,460.9213114754098,618.0634146341464,558.8427672955975,245.01255230125523,720.3007518796992,439.228855721393,382.42857142857144,1325.484496124031,841.4666666666667,252.31884057971016,571.2388663967612,297.94776119402985,581.7558139534884,321.1131498470948,658.0739299610894,1006.0513833992095,101.97549019607843,770.2886597938144,885.3822393822394,291.86046511627904,1031.8989547038327,782.3137254901961,385.28350515463916,799.2709677419355,55.084848484848486,582.1227436823104,1293.0037593984962,249.800796812749,319.0671378091873,854.982683982684,304.27093596059115,394.0127659574468,351.35074626865674,425.61639344262295,285.77470355731225,1139.6358695652175,401.0509803921569,419.58,153.96442687747034,749.6195652173913,366.8968609865471,426.5811965811966,341.03053435114504,250.59241706161137,879.9917012448133,763.8936170212766,780.4158878504672,930.0,401.05194805194805,231.93774319066148,767.1982378854625,461.1686274509804,404.6125654450262,273.42660550458714,638.0328638497652,736.7096774193549,592.8127853881278,671.4022140221402,838.2539682539683,188.7536231884058,798.1627906976744,337.98974358974357,243.2212389380531,198.98611111111111,144.69477911646587,441.546468401487,255.9160583941606,597.225,1144.9945945945947,366.05128205128204,626.3300492610838,329.46948356807513,291.2542372881356,308.622754491018,750.5479452054794,425.4897119341564,992.5698529411765,643.4782608695652,313.62466487935654,265.0696864111498,1556.960591133005
2,364.5986394557823,223.31071428571428,654.5217391304348,463.2851851851852,643.952802359882,189.2099644128114,570.8795620437957,817.793427230047,639.9463601532567,482.68835616438355,424.92576419213975,255.16613418530352,887.9829787234042,735.0421686746988,893.4478260869565,811.6487804878049,444.5404530744337,462.0040322580645,723.4409722222222,338.12459016393444,737.5024390243902,406.311320754717,234.53556485355648,518.1578947368421,653.4825870646766,358.6095238095238,1132.8837209302326,1244.4238095238095,223.743961352657,774.4858299595141,298.8059701492537,532.9457364341085,358.81345565749234,642.0856031128404,862.9407114624506,141.29901960784315,852.8659793814433,872.8146718146718,259.515503875969,1163.6794425087107,711.2941176470588,427.9639175257732,660.0387096774193,60.71515151515152,526.4873646209386,1185.53007518797,278.2191235059761,240.69257950530036,738.943722943723,432.192118226601,402.7276595744681,609.0074626865671,447.1049180327869,416.901185770751,1565.195652173913,343.5882352941176,506.195,151.29249011857706,930.1195652173913,411.7488789237668,513.6025641025641,484.17175572519085,257.49763033175356,777.6514522821577,811.9609929078014,766.5841121495328,1059.2916666666667,487.04329004329,256.6964980544747,647.1321585903083,404.5607843137255,521.5968586387435,309.6651376146789,385.81220657277,567.4354838709677,755.1415525114155,517.6383763837638,712.5767195767196,213.04057971014493,819.3759689922481,435.85128205128206,336.3274336283186,237.31944444444446,165.1285140562249,462.3977695167286,424.4051094890511,557.8208333333333,1219.9783783783785,429.44017094017096,853.423645320197,529.3615023474179,307.33474576271186,451.61077844311376,436.99657534246575,695.3415637860082,1678.8492647058824,773.9420289855072,322.4611260053619,236.54703832752614,1521.7635467980297
3,349.6258503401361,198.375,574.7905138339921,442.97037037037035,464.6253687315634,167.27758007117438,385.61678832116786,492.19718309859155,664.264367816092,477.6335616438356,475.24454148471614,254.17571884984025,813.6170212765958,495.30120481927713,869.9304347826087,651.8390243902439,444.621359223301,596.2056451612904,483.94444444444446,259.3344262295082,658.8439024390244,282.5440251572327,206.63179916317992,432.35714285714283,1215.44776119403,401.6952380952381,844.9186046511628,1336.1714285714286,226.98067632850243,807.3805668016195,274.03731343283584,479.5387596899225,416.58715596330273,435.20622568093387,488.9644268774704,183.67156862745097,739.1134020618557,762.6332046332046,278.9612403100775,1079.9268292682927,710.0147058823529,616.1752577319587,413.23870967741937,74.15151515151516,407.00361010830323,876.4135338345865,444.83266932270914,228.0035335689046,720.9264069264069,597.8423645320197,396.11063829787236,854.1305970149253,424.4688524590164,521.9565217391304,1435.0380434782608,286.89803921568625,501.95,166.16205533596838,1092.4402173913043,373.32286995515693,546.6837606837607,709.7442748091603,293.9620853080569,615.195020746888,570.2234042553191,633.8644859813085,870.3287037037037,465.3073593073593,306.6692607003891,627.2995594713657,509.4470588235294,418.35602094240835,563.9266055045872,460.85915492957747,373.9612903225806,795.9223744292237,525.6088560885609,947.4550264550264,231.2608695652174,857.531007751938,537.7384615384616,380.29646017699116,287.43981481481484,1028.4658634538152,504.7769516728625,755.7883211678832,514.6333333333333,468.75135135135133,603.8931623931624,895.5665024630542,495.25821596244134,573.5466101694915,515.0898203592815,393.1267123287671,1007.5102880658436,1865.2573529411766,446.9903381642512,348.16353887399464,1545.348432055749,1357.472906403941
4,362.0,220.31428571428572,421.19367588932806,766.5518518518519,467.5958702064897,200.27402135231316,220.06934306569343,353.77464788732397,906.6590038314176,578.7534246575342,514.2227074235808,282.40575079872207,590.8297872340426,299.9909638554217,666.3217391304348,571.2731707317073,370.28155339805824,693.0201612903226,464.3576388888889,278.12459016393444,622.5560975609756,290.5817610062893,195.8744769874477,447.52255639097746,1316.5671641791046,448.10793650793653,772.3255813953489,886.3333333333334,241.3816425120773,694.502024291498,299.410447761194,457.9263565891473,445.56880733944956,382.92217898832683,248.58893280632412,213.8235294117647,621.9106529209622,558.1312741312742,317.0968992248062,768.5923344947735,574.9166666666666,973.2835051546392,372.40645161290325,91.87272727272727,308.913357400722,684.8571428571429,449.80876494023903,287.4593639575972,684.2597402597403,691.0443349753695,239.51063829787233,925.2985074626865,393.0098360655738,563.0158102766799,1231.945652173913,622.1137254901961,419.285,195.5494071146245,1010.7173913043479,468.304932735426,1271.2051282051282,848.9351145038167,462.1516587677725,258.88796680497927,451.8723404255319,506.33644859813086,1612.9444444444443,461.31168831168833,364.28793774319064,375.4625550660793,611.5921568627451,1713.219895287958,1168.2660550458716,659.4366197183099,281.6258064516129,632.6392694063927,534.5166051660517,1338.7301587301588,440.97971014492754,722.0736434108527,1427.825641025641,450.72566371681415,407.26851851851853,194.0843373493976,502.8810408921933,715.9160583941606,610.7625,1261.654054054054,1495.371794871795,1430.7339901477833,1006.1173708920188,772.8389830508474,1314.5209580838323,363.66438356164383,931.119341563786,1828.672794117647,717.6086956521739,445.20643431635386,241.78397212543555,784.5960591133005
5,362.5850340136054,209.62142857142857,360.8498023715415,887.5962962962963,635.0265486725664,207.80071174377224,194.0912408759124,291.9765258215962,1041.3831417624522,582.4897260273973,547.8078602620087,260.5814696485623,429.60425531914893,258.75602409638554,492.45652173913044,534.9609756097561,294.7281553398058,698.6129032258065,442.8888888888889,292.3672131147541,741.0146341463415,275.1446540880503,215.6276150627615,439.7857142857143,890.2636815920398,618.2253968253968,704.3798449612403,542.0761904761905,300.75845410628017,592.7854251012146,368.56716417910445,524.9496124031008,607.0978593272172,370.1945525291829,236.2094861660079,276.4852941176471,512.9518900343643,382.4555984555985,365.15503875968994,410.02090592334497,441.78921568627453,763.7835051546392,453.10322580645163,90.48484848484848,325.99277978339353,494.3421052631579,448.79282868525894,247.2226148409894,673.7792207792207,555.6108374384237,418.0978723404255,855.044776119403,395.8524590163934,628.2094861660079,921.9184782608696,270.7019607843137,505.255,305.1304347826087,1005.2608695652174,812.4170403587444,680.9700854700855,751.763358778626,577.5876777251185,430.4149377593361,504.91843971631204,605.7196261682243,1756.3657407407406,594.7272727272727,413.8599221789883,465.6079295154185,680.6274509803922,810.3612565445026,531.3899082568807,1187.6572769953052,291.0548387096774,826.433789954338,574.730627306273,1361.4867724867725,392.768115942029,551.2093023255813,1125.3948717948717,571.429203539823,657.4537037037037,213.93172690763052,486.5650557620818,682.0474452554745,733.6166666666667,1434.1027027027028,780.991452991453,1530.6305418719212,817.5492957746479,870.4194915254237,1025.2814371257484,516.1541095890411,879.7078189300412,1902.2242647058824,579.3816425120773,465.8150134048257,209.90940766550523,737.8472906403941
6,358.07142857142856,209.51785714285714,348.9288537549407,643.4037037037037,667.9941002949853,207.77580071174378,253.45985401459853,292.84507042253523,933.6743295019157,453.86301369863014,658.759825327511,258.00958466453676,950.5106382978723,270.7259036144578,477.6434782608696,451.8,285.77669902912623,743.5766129032259,584.3923611111111,297.28196721311474,935.9317073170731,258.10377358490564,214.64016736401675,431.92105263157896,541.6119402985074,672.6095238095238,656.6356589147287,397.25714285714287,375.1835748792271,514.4453441295547,423.1380597014925,508.74418604651163,641.8073394495412,386.7003891050584,309.60474308300394,257.3186274509804,484.59106529209623,309.42857142857144,419.64728682170545,321.198606271777,537.5882352941177,593.4278350515464,486.2774193548387,113.41818181818182,403.64981949458485,516.5714285714286,380.3585657370518,312.4487632508834,670.4718614718614,446.6896551724138,473.3531914893617,746.7574626865671,381.0950819672131,695.8102766798419,1116.6467391304348,366.52156862745096,557.485,402.4703557312253,849.5380434782609,1074.6053811659192,564.0854700854701,648.3740458015267,783.2938388625593,428.0414937759336,594.549645390071,693.3317757009346,2091.865740740741,725.6277056277056,434.5408560311284,477.8898678414097,715.6235294117647,954.3874345549738,575.7844036697247,1600.605633802817,318.4451612903226,881.9497716894978,815.0738007380074,1112.3544973544974,623.7478260869565,510.66279069767444,851.3333333333334,681.0088495575221,758.4074074074074,198.55020080321285,574.1858736059479,715.5583941605839,900.6583333333333,1846.454054054054,715.4529914529915,1313.1822660098521,1186.7887323943662,947.207627118644,1035.5808383233532,805.5445205479452,814.0164609053498,1952.6507352941176,1037.0193236714977,836.6863270777479,239.595818815331,1515.7536945812808
7,361.07142857142856,215.46428571428572,426.60474308300394,545.4703703703703,553.2566371681415,209.7508896797153,293.2043795620438,303.22535211267603,688.7854406130268,349.20205479452056,738.2445414847161,286.2140575079872,1063.9531914893616,251.6987951807229,522.5956521739131,482.3560975609756,362.7443365695793,748.733870967742,640.5833333333334,390.41967213114754,919.390243902439,322.87106918238993,235.5774058577406,454.03007518796994,398.3681592039801,671.4507936507937,574.6046511627907,437.0952380952381,524.9082125603865,537.5303643724696,425.5335820895522,480.1860465116279,525.1865443425077,546.5486381322958,453.2529644268775,292.4166666666667,440.1340206185567,359.8339768339768,588.6124031007752,296.20905923344947,772.0539215686274,574.8298969072165,522.3806451612903,89.64242424242424,398.086642599278,659.8233082706766,402.8645418326693,324.3286219081272,678.6103896103896,382.69458128078816,549.2893617021276,771.6977611940298,318.9016393442623,621.9802371541502,1814.4076086956522,570.8352941176471,994.56,409.901185770751,773.4673913043479,547.152466367713,464.95299145299145,632.9847328244275,1216.4739336492892,423.13278008298755,728.2304964539007,734.7102803738318,1754.4953703703704,739.4242424242424,557.6770428015565,421.0837004405286,920.9254901960784,861.0785340314136,652.1559633027523,1571.943661971831,336.1483870967742,684.310502283105,1001.5018450184502,1149.5238095238096,482.57971014492756,561.0852713178294,986.2461538461539,760.929203539823,584.574074074074,204.0,667.553903345725,777.0182481751825,815.8791666666667,1770.2864864864864,1234.051282051282,1390.7241379310344,1234.75117370892,913.5127118644068,1318.179640718563,1079.1917808219177,699.798353909465,1931.6801470588234,1310.5410628019324,589.426273458445,229.05923344947735,1285.9014778325122
8,372.8469387755102,219.61785714285713,592.0790513833992,489.462962962963,403.6755162241888,188.80782918149467,387.6861313868613,370.0093896713615,555.4674329501916,296.3767123287671,711.170305676856,299.961661341853,653.7404255319149,290.48192771084337,623.1739130434783,521.560975609756,419.80906148867314,704.7137096774194,580.2048611111111,440.21311475409834,901.0487804878048,416.3333333333333,244.2133891213389,538.2556390977444,282.6467661691542,620.5428571428571,548.4651162790698,522.4380952380952,681.024154589372,602.0364372469636,443.4440298507463,445.5813953488372,436.3608562691131,891.136186770428,503.9328063241107,229.22549019607843,349.7216494845361,472.95752895752895,479.3565891472868,311.8780487804878,906.7843137254902,665.8659793814433,497.36129032258066,90.72727272727273,403.2129963898917,925.6992481203008,482.2988047808765,369.565371024735,517.6060606060606,305.7586206896552,693.5702127659574,546.7798507462686,369.5967213114754,553.2648221343874,1583.9619565217392,646.1960784313726,1085.525,309.3794466403162,578.9021739130435,652.7982062780269,597.5726495726495,540.4274809160305,1256.1563981042655,471.86721991701245,643.3617021276596,662.4392523364486,1037.0277777777778,949.9004329004329,503.7626459143969,447.2819383259912,977.8117647058823,755.0157068062828,555.1238532110092,1533.4788732394366,317.8290322580645,1307.2648401826484,990.1143911439115,1234.3015873015872,664.0811594202899,746.5271317829457,1078.4410256410256,777.5353982300885,537.3935185185185,216.02008032128515,714.1784386617101,782.1423357664233,807.8458333333333,1782.5675675675675,681.017094017094,1300.8817733990147,721.6807511737089,775.8728813559322,784.1497005988024,1163.291095890411,569.5390946502058,1938.8345588235295,951.9710144927536,534.1662198391421,230.26132404181186,1379.0295566502464
9,393.9149659863946,271.76785714285717,744.2411067193676,423.7111111111111,400.7227138643068,173.65480427046262,289.41970802919707,403.5774647887324,512.616858237548,273.2671232876712,556.2838427947598,302.72843450479235,312.4212765957447,307.671686746988,696.3739130434783,544.6926829268293,418.81553398058253,726.366935483871,574.3923611111111,389.6459016393443,825.1365853658536,577.3364779874214,246.0878661087866,641.2744360902255,280.25373134328356,619.584126984127,492.2480620155039,571.3380952380952,694.1449275362319,508.68016194331983,539.4664179104477,422.37984496124034,372.1896024464832,985.3151750972762,462.8695652173913,279.75,342.4226804123711,598.5675675675676,465.48837209302326,367.3205574912892,701.6225490196078,736.2680412371134,423.4935483870968,83.33333333333333,427.42599277978337,1402.8308270676691,450.3187250996016,502.7243816254417,487.90909090909093,390.5073891625616,684.263829787234,357.63432835820896,386.344262295082,538.7154150197629,839.1086956521739,578.8862745098039,1092.415,498.7628458498024,755.6739130434783,544.3094170403588,978.3974358974359,474.78625954198475,1227.3791469194314,457.9460580912863,649.9290780141844,962.411214953271,985.2685185185185,797.3636363636364,528.182879377432,439.1453744493392,973.1725490196078,976.8062827225131,608.4082568807339,1589.4460093896714,343.4516129032258,903.4246575342465,1031.140221402214,1300.904761904762,524.3130434782609,867.7635658914729,1077.0205128205127,639.5752212389381,450.0138888888889,212.17670682730923,682.5241635687732,752.3138686131387,862.9291666666667,1878.6810810810812,721.4230769230769,2034.0147783251232,481.09389671361504,649.6059322033898,851.8323353293413,1053.4349315068494,632.8765432098766,1884.6213235294117,1681.4202898550725,439.44772117962464,210.73170731707316,1229.655172413793
