Frame,Cell_92,Cell_94,Cell_95,Cell_96,Cell_97,Cell_98,Cell_99,Cell_100,Cell_101,Cell_102,Cell_105,Cell_106,Cell_112,Cell_113,Cell_114,Cell_115,Cell_116,Cell_118,Cell_119,Cell_120,Cell_121,Cell_123,Cell_125,Cell_126,Cell_127,Cell_129,Cell_133,Cell_135,Cell_136,Cell_140,Cell_142,Cell_143,Cell_144,Cell_145,Cell_146,Cell_148,Cell_150,Cell_151,Cell_152,Cell_153,Cell_156,Cell_160,Cell_162,Cell_163,Cell_164,Cell_165,Cell_166,Cell_167,Cell_170,Cell_172,Cell_173,Cell_174,Cell_175,Cell_177,Cell_180,Cell_182,Cell_185,Cell_186,Cell_187,Cell_189,Cell_190,Cell_191,Cell_192,Cell_194,Cell_198,Cell_200,Cell_201,Cell_202,Cell_203,Cell_204,Cell_205,Cell_206,Cell_207,Cell_209,Cell_210,Cell_213,Cell_214,Cell_215,Cell_216,Cell_217,Cell_218,Cell_221,Cell_224,Cell_225,Cell_226,Cell_227,Cell_228,Cell_229,Cell_231,Cell_233,Cell_234,Cell_237,Cell_238,Cell_240,Cell_243,Cell_244,Cell_245,Cell_246,Cell_248,Cell_249,Cell_251,Cell_252,Cell_255,Cell_258
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,957.2401215805471,364.33561643835617,746.1103448275862,120.11989795918367,1088.7097791798108,1062.2168284789643,830.8985507246376,866.7486187845304,413.64638783269965,884.903448275862,558.8346456692914,856.5874439461884,740.4076923076923,291.1290322580645,1397.9761904761904,712.8045112781955,259.87124463519314,344.9094827586207,1317.1349206349207,320.94214876033055,306.962441314554,584.8623853211009,883.969696969697,556.179211469534,671.639846743295,787.6179245283018,157.92831541218638,1373.8783269961978,220.5353982300885,419.48425196850394,1232.2489270386266,761.185303514377,1723.1849710982658,749.1026615969582,1126.1666666666667,315.3419540229885,1331.2666666666667,444.2078431372549,1065.1256281407036,1366.2217741935483,304.38940809968847,463.61960784313726,1199.7755102040817,560.49609375,2051.140703517588,1745.3034188034187,864.0590909090909,1384.978835978836,1071.810035842294,784.5909090909091,282.609375,502.1953642384106,849.819512195122,557.9636363636364,885.4891304347826,491.21787709497204,1362.817843866171,779.2262773722628,1216.625,372.1152263374486,942.9514170040486,1209.0304347826086,1548.7629310344828,1371.5342465753424,79.83240223463687,841.2950819672132,1347.6504424778761,1773.2554112554112,148.51807228915663,231.55595667870037,2161.8875968992247,536.570652173913,2224.8022388059703,1471.4664179104477,490.69953051643193,1506.785046728972,729.3157894736842,239.07027027027027,1949.548245614035,465.43277310924367,1399.5189189189189,344.56353591160223,525.7912457912458,966.5675675675676,2295.213953488372,1987.1166666666666,249.82513661202185,254.67248908296943,1572.425,739.3720930232558,976.586854460094,787.3725490196078,236.61951219512196,235.46464646464648,351.6787148594378,642.6117021276596,613.9497716894978,1530.4604316546763,365.21463414634144,205.32236842105263,218.31696428571428,405.4871794871795,1673.9117647058824,320.34054054054053
2,1135.872340425532,811.0410958904109,1137.693103448276,152.3545918367347,1655.2145110410095,912.5533980582525,1161.9601449275362,1021.3121546961326,723.745247148289,1332.8206896551724,994.7952755905512,1390.6098654708521,1070.8,507.7225806451613,1510.6626984126983,770.5187969924812,172.2274678111588,603.5560344827586,1681.9973544973545,407.8305785123967,185.92957746478874,964.9954128440367,965.5454545454545,897.9641577060931,532.9961685823755,984.7216981132076,351.89247311827955,1509.0988593155894,310.6858407079646,591.2874015748032,1148.0557939914163,1514.7316293929712,1075.092485549133,1279.9733840304182,839.1825396825396,248.73850574712642,1425.648888888889,882.9921568627451,1496.2361809045226,1376.717741935484,455.91277258566976,613.9843137254902,1456.8316326530612,1083.87890625,1058.4924623115578,751.1794871794872,697.8954545454545,1834.9100529100529,1332.426523297491,1213.969696969697,327.921875,852.841059602649,892.8390243902439,1075.9018181818183,299.67391304347825,743.6648044692737,1954.6133828996283,316.8540145985401,608.8793103448276,433.48559670781896,1295.5708502024293,870.7913043478261,523.8318965517242,669.1872146118722,72.60335195530726,1521.4699453551912,1175.8008849557523,1402.952380952381,126.21084337349397,643.4801444043321,1552.015503875969,821.945652173913,2152.9477611940297,1360.6305970149253,1234.7417840375588,1198.1806853582555,1530.1004784688996,312.0972972972973,1005.8991228070175,414.9453781512605,1970.7621621621622,375.8674033149171,601.925925925926,646.0540540540541,1154.7302325581395,1479.7,354.7431693989071,354.96069868995636,2010.155,759.1007751937984,742.0328638497652,1145.4656862745098,278.74634146341464,275.34343434343435,343.4899598393574,536.2287234042553,699.365296803653,1775.5287769784172,333.08780487804876,205.47697368421052,331.25892857142856,384.7282051282051,910.3941176470588,323.20540540540543
3,933.468085106383,822.4417808219179,1383.3137931034482,273.0765306122449,1456.8422712933755,404.4336569579288,1522.7644927536232,808.8977900552486,1000.3269961977186,1404.5827586206897,1384.4566929133857,1618.9551569506727,1161.946153846154,508.2516129032258,686.5912698412699,778.5112781954887,337.6480686695279,813.4741379310345,911.5873015873016,495.04545454545456,185.77464788732394,1196.802752293578,1276.5030303030303,1337.2974910394266,699.183908045977,994.6320754716982,738.1039426523297,1372.8593155893536,597.7389380530974,603.2637795275591,721.755364806867,1374.6102236421725,732.0520231213873,1189.726235741445,224.29761904761904,211.23563218390805,932.6355555555556,1001.1843137254901,1137.8442211055276,701.6491935483871,567.5950155763239,733.1686274509804,1205.5357142857142,1342.52734375,348.1206030150754,220.4017094017094,490.84090909090907,1313.8095238095239,1039.9175627240143,1666.8068181818182,272.984375,1627.1622516556292,641.4243902439024,1566.8036363636363,458.0217391304348,902.8603351955308,1964.0520446096655,550.1678832116788,348.70258620689657,644.522633744856,1212.080971659919,933.0130434782609,387.6896551724138,243.36073059360731,83.59217877094972,1885.4043715846994,646.3362831858407,678.7748917748918,111.71686746987952,1423.8014440433212,825.8294573643411,1128.9239130434783,1222.5559701492537,557.1567164179105,1383.4788732394366,922.0654205607476,1384.8755980861245,523.1837837837838,347.2894736842105,595.0504201680673,1362.654054054054,393.1767955801105,309.55555555555554,608.3243243243244,422.72093023255815,922.2625,460.57377049180326,747.7729257641921,1801.815,380.43023255813955,463.05164319248826,1252.6078431372548,311.5121951219512,386.8838383838384,528.5180722891566,575.4787234042553,624.634703196347,1445.9856115107914,293.5317073170732,214.6809210526316,648.5178571428571,358.18461538461537,465.4823529411765,325.43243243243245
4,603.2006079027356,669.1404109589041,1319.4,508.6224489795918,735.4069400630915,384.43042071197414,1022.5797101449275,1069.389502762431,1102.893536121673,763.0551724137931,1219.5590551181103,1805.2421524663678,832.1615384615385,310.60967741935485,346.7857142857143,605.3082706766917,533.9699570815451,695.6637931034483,525.3941798941798,480.73553719008265,215.3943661971831,1105.2155963302753,983.3060606060606,1094.010752688172,537.9425287356322,818.5235849056604,665.336917562724,901.893536121673,1178.2300884955753,653.8858267716536,459.137339055794,566.3642172523962,493.15606936416185,585.7376425855514,129.92460317460316,180.91379310344828,323.06666666666666,725.7764705882353,463.63819095477385,654.2056451612904,821.4735202492212,903.3921568627451,704.9948979591836,1021.37109375,365.1859296482412,215.86324786324786,532.9272727272727,473.95238095238096,591.2508960573476,1103.6022727272727,238.23958333333334,1323.046357615894,417.98536585365855,1215.269090909091,865.4891304347826,871.0614525139665,1235.007434944238,977.5985401459855,414.98275862068965,1063.40329218107,623.8097165991903,839.3,762.0387931034483,205.8447488584475,108.89385474860335,1351.983606557377,362.1504424778761,929.6320346320347,124.40963855421687,1571.274368231047,688.0891472868217,888.4728260869565,441.78731343283584,371.76119402985074,1198.7699530516431,746.2367601246106,894.1435406698564,749.3621621621621,232.9298245614035,1089.9495798319329,638.1891891891892,383.29834254143645,299.45454545454544,437.17297297297296,310.31162790697675,705.9916666666667,328.8142076502732,1083.7947598253274,1070.095,325.97286821705427,258.62910798122067,1117.063725490196,720.0487804878048,381.02525252525254,854.429718875502,648.5212765957447,921.8356164383562,1060.9712230215828,398.3658536585366,226.01644736842104,991.4866071428571,265.9794871794872,311.88823529411764,359.15675675675675
5,586.9148936170212,479.5513698630137,985.3137931034482,569.2219387755102,731.1072555205047,399.84789644012943,555.7210144927536,1263.975138121547,741.8707224334601,384.1310344827586,460.76377952755905,1575.354260089686,489.4653846153846,274.19354838709677,506.41269841269843,863.4548872180451,916.6909871244635,450.4784482758621,287.7936507936508,291.55371900826447,255.06103286384976,490.27064220183485,624.8636363636364,475.72759856630825,386.2107279693487,552.0141509433962,420.0967741935484,538.0304182509506,1467.9380530973451,463.9133858267717,447.9570815450644,892.5846645367412,325.46242774566474,269.68441064638785,115.53571428571429,229.85919540229884,175.51111111111112,536.5333333333333,269.79899497487435,648.25,895.7227414330218,895.8588235294118,353.63775510204084,458.51953125,391.47236180904525,252.28205128205127,752.1363636363636,200.37037037037038,312.84229390681,369.29924242424244,235.07291666666666,491.49006622516555,326.2487804878049,287.6472727272727,1126.0108695652175,1005.5083798882681,587.1115241635688,1234.3138686131388,524.3189655172414,1359.9218106995884,259.86234817813767,750.9,1191.5387931034484,199.60730593607306,113.92178770949721,576.8360655737705,299.9070796460177,1313.0865800865802,147.16867469879517,809.8519855595667,689.515503875969,714.6521739130435,518.4067164179105,730.8955223880597,752.5352112676056,642.3115264797508,1155.3253588516745,897.8054054054054,253.24561403508773,1401.420168067227,584.7297297297297,460.060773480663,476.04713804713805,467.25405405405405,388.5581395348837,834.025,294.0218579234973,1337.35807860262,573.0,668.515503875969,209.42723004694835,853.2941176470588,1020.9658536585366,392.19191919191917,1073.4538152610442,493.8085106382979,1236.4155251141553,670.6043165467626,789.3756097560976,378.75,838.21875,344.6974358974359,350.2294117647059,348.6702702702703
6,1019.3829787234042,216.4794520547945,632.6758620689656,310.7525510204082,473.7539432176656,638.1618122977346,610.8623188405797,1206.707182320442,653.2015209125475,538.1655172413793,355.748031496063,1226.4349775784754,338.03076923076924,269.5064516129032,992.1746031746031,1002.2067669172932,692.4549356223176,419.16379310344826,252.8862433862434,236.27272727272728,384.34272300469485,272.2477064220183,344.06666666666666,290.99283154121866,756.5057471264367,438.66509433962267,366.35125448028674,357.4106463878327,1306.132743362832,312.06692913385825,516.2703862660944,1058.408945686901,210.42196531791907,249.32699619771864,136.67857142857142,333.10632183908046,189.40444444444444,625.3098039215686,235.66331658291458,438.23790322580646,639.6168224299065,555.8509803921569,298.9540816326531,204.40234375,293.22613065326635,286.55128205128204,762.2863636363636,177.7037037037037,171.4910394265233,185.59848484848484,365.234375,207.5662251655629,304.2439024390244,203.12363636363636,771.5760869565217,1588.2905027932961,474.3903345724907,734.6715328467153,575.426724137931,1128.5925925925926,198.07287449392712,431.6565217391304,950.176724137931,247.53881278538813,121.84357541899442,628.5409836065573,231.72566371681415,891.3073593073593,219.04819277108433,1074.6714801444043,551.8875968992248,668.4184782608696,761.294776119403,824.4440298507462,380.45539906103284,741.4984423676012,978.133971291866,715.6216216216217,287.71491228070175,1091.2689075630253,811.1891891891892,939.060773480663,833.8013468013468,382.7567567567568,572.0325581395349,1325.0583333333334,272.7431693989071,1201.296943231441,459.555,859.8062015503876,234.58215962441315,690.4313725490196,954.4195121951219,478.1666666666667,1156.7710843373493,414.5744680851064,1232.5068493150684,478.0935251798561,1075.1658536585367,507.7368421052632,894.6875,421.85641025641024,447.5352941176471,358.74054054054056
7,625.0425531914893,194.50342465753425,341.56206896551726,124.01275510204081,214.57413249211356,776.495145631068,812.2391304347826,941.5414364640884,721.254752851711,658.5034482758621,554.007874015748,710.5605381165919,384.28076923076924,303.6741935483871,1209.8095238095239,693.2593984962406,311.22317596566523,533.8060344827586,322.75132275132273,179.02479338842974,441.1830985915493,345.4036697247706,246.0060606060606,208.80286738351253,961.6321839080459,437.50471698113205,262.52329749103944,317.615969581749,617.0840707964602,245.95275590551182,490.48497854077254,627.9872204472844,251.89595375722544,342.2699619771863,133.28968253968253,629.6350574712644,218.28,779.8745098039216,260.7386934673367,222.29032258064515,307.7165109034268,245.30588235294118,313.01020408163265,215.9609375,259.49748743718595,296.3076923076923,548.2545454545455,187.8148148148148,157.8279569892473,195.47727272727272,561.4739583333334,188.3046357615894,341.96585365853656,209.98545454545456,292.9891304347826,1642.5977653631285,468.1189591078067,281.1021897810219,320.05172413793105,679.3086419753087,185.49392712550608,320.4086956521739,362.9784482758621,297.648401826484,99.46368715083798,522.2950819672132,233.31858407079645,564.7922077922078,208.71686746987953,1090.057761732852,327.99612403100775,1085.2717391304348,630.2835820895523,428.29477611940297,355.36619718309856,955.9781931464174,855.0191387559809,365.2648648648649,296.1798245614035,567.6848739495798,602.827027027027,972.8066298342542,854.2760942760942,306.12432432432433,426.09302325581393,1746.5541666666666,310.60655737704917,490.24454148471614,460.0,459.66279069767444,227.21596244131456,670.3921568627451,575.9414634146342,457.67676767676767,1063.1887550200804,430.9468085106383,715.7260273972603,422.96762589928056,988.409756097561,621.453947368421,720.3616071428571,366.0974358974359,439.9117647058824,370.8216216216216
8,294.24924012158056,209.83904109589042,303.04137931034484,100.15816326530613,206.96845425867508,754.663430420712,905.2246376811594,398.47237569060775,983.5437262357415,348.68275862068964,1151.291338582677,354.5695067264574,404.6307692307692,246.48387096774192,889.4126984126984,433.95112781954884,199.15450643776825,416.04741379310343,696.6957671957672,136.63223140495867,346.1830985915493,552.8853211009174,257.8424242424242,204.29390681003585,634.9425287356322,599.5896226415094,178.36917562724014,230.4638783269962,196.00884955752213,290.6377952755906,424.7167381974249,266.9105431309904,314.5491329479769,454.4486692015209,131.18253968253967,890.4827586206897,230.45777777777778,779.1254901960784,449.59798994974875,190.66129032258064,203.52959501557632,129.9294117647059,277.8826530612245,200.2265625,231.01005025125627,228.5940170940171,336.57272727272726,190.58201058201058,159.831541218638,198.67424242424244,789.9635416666666,222.58609271523179,610.3560975609756,208.84727272727272,213.05434782608697,975.6033519553073,438.275092936803,187.5182481751825,226.13793103448276,357.9053497942387,182.59514170040487,224.47826086956522,232.89224137931035,374.4109589041096,106.01675977653632,353.1748633879781,241.28761061946904,471.6017316017316,151.68072289156626,646.4512635379061,237.03488372093022,1139.8315217391305,510.7686567164179,232.24253731343285,288.19718309859155,1008.4267912772585,808.2870813397129,285.2162162162162,273.2061403508772,327.1386554621849,314.7837837837838,571.8563535911602,668.016835016835,260.46486486486486,284.80930232558137,1351.1583333333333,338.8196721311475,362.49344978165936,430.775,251.42635658914728,239.30985915492957,504.921568627451,331.7268292682927,358.8838383838384,788.6345381526104,541.0212765957447,355.01826484018267,424.4496402877698,856.8682926829268,601.2796052631579,454.1517857142857,260.24615384615385,433.52941176470586,341.9081081081081
9,205.6838905775076,196.13698630136986,304.8034482758621,118.32397959183673,217.70347003154575,440.4822006472492,841.9021739130435,160.91712707182322,1059.3536121673003,271.37931034482756,1471.5551181102362,242.87892376681614,309.95384615384614,208.14193548387098,434.55555555555554,273.9736842105263,220.87124463519314,353.4655172413793,1057.7566137566137,138.02892561983472,206.0281690140845,1217.651376146789,213.4969696969697,232.55197132616487,189.8544061302682,1060.7311320754718,173.21505376344086,210.11787072243345,183.26106194690266,463.4212598425197,430.92703862660943,175.19488817891374,504.26011560693644,411.82889733840307,153.93650793650792,1095.1408045977012,224.1288888888889,617.3529411764706,593.5979899497487,170.4233870967742,192.9688473520249,117.88627450980393,272.8112244897959,208.32421875,181.27638190954775,181.68803418803418,282.8636363636364,198.0899470899471,175.44802867383513,192.77651515151516,662.0572916666666,247.49668874172184,761.8634146341464,196.26909090909092,191.8695652173913,408.00558659217876,387.9479553903346,167.77372262773721,249.94827586206895,382.28395061728395,182.93117408906883,213.42608695652174,226.18103448275863,347.3607305936073,78.07821229050279,279.6393442622951,258.5840707964602,322.75324675324674,97.16867469879519,274.4115523465704,211.22868217054264,861.75,433.3768656716418,212.42537313432837,272.9107981220657,747.9595015576324,555.5980861244019,185.3945945945946,253.22368421052633,260.781512605042,250.0054054054054,265.4696132596685,392.2020202020202,266.66486486486485,230.89767441860465,626.0583333333333,271.94535519125685,502.68995633187774,320.175,236.93023255813952,265.13145539906105,365.97549019607845,259.4439024390244,256.12626262626264,509.17269076305223,493.76063829787233,259.4748858447489,424.1798561151079,658.7121951219513,389.4638157894737,288.50892857142856,185.1948717948718,365.8705882352941,309.84324324324325
