Frame,Cell_86,Cell_90,Cell_91,Cell_92,Cell_94,Cell_96,Cell_97,Cell_100,Cell_103,Cell_105,Cell_106,Cell_107,Cell_109,Cell_110,Cell_111,Cell_114,Cell_115,Cell_116,Cell_120,Cell_122,Cell_123,Cell_124,Cell_125,Cell_126,Cell_128,Cell_130,Cell_133,Cell_136,Cell_139,Cell_143,Cell_146,Cell_147,Cell_148,Cell_149,Cell_150,Cell_155,Cell_157,Cell_158,Cell_160,Cell_161,Cell_164,Cell_165,Cell_166,Cell_170,Cell_174,Cell_175,Cell_177,Cell_178,Cell_179,Cell_180,Cell_181,Cell_183,Cell_185,Cell_187,Cell_190,Cell_193,Cell_195,Cell_196,Cell_199,Cell_201,Cell_204,Cell_205,Cell_206,Cell_207,Cell_208,Cell_209,Cell_210,Cell_211,Cell_219,Cell_220,Cell_221,Cell_222,Cell_223,Cell_226,Cell_227,Cell_228,Cell_229,Cell_230,Cell_231,Cell_233,Cell_237,Cell_238,Cell_239,Cell_240,Cell_242,Cell_243,Cell_247,Cell_248,Cell_249,Cell_250,Cell_253,Cell_255,Cell_257,Cell_260,Cell_261,Cell_264,Cell_265,Cell_266,Cell_267,Cell_269,Cell_270,Cell_271,Cell_274,Cell_275,Cell_278,Cell_279,Cell_281
0,154.44230769230768,183.22189349112426,205.57190635451505,135.71289537712894,171.82131661442006,245.51470588235293,272.6336898395722,386.61538461538464,171.94405594405595,336.54578754578756,238.9128205128205,215.04850746268656,786.0858208955224,426.44947735191636,148.92105263157896,213.13995485327314,265.4273858921162,288.39884393063585,160.77245508982037,233.56777493606137,391.3710247349823,368.0,309.05026455026456,158.72477064220183,233.11721611721612,499.30514705882354,190.85434173669466,186.40316205533597,157.27807486631016,751.84765625,345.63178294573646,240.62089552238805,362.0890410958904,829.4727272727273,236.78616352201257,188.98987341772153,234.5486381322957,244.63225806451612,350.5974025974026,351.0984848484849,590.7404255319149,354.2647058823529,321.1540342298288,390.6502463054187,368.784,814.2915129151291,363.7677261613692,345.3333333333333,1723.8339622641508,974.7203065134099,372.93697478991595,299.84831460674155,2007.1726907630523,303.94425087108016,485.59003831417624,455.45147679324896,935.4558823529412,334.2228260869565,399.24641833810887,493.26978417266184,531.4827586206897,240.31272727272727,490.95022624434387,328.46853146853147,1101.529605263158,2046.5650224215246,571.0555555555555,476.06538461538463,1443.2326530612245,1074.4432432432432,1710.483412322275,523.0286885245902,452.39285714285717,1087.6245733788396,699.0731707317074,208.08275862068965,1415.899628252788,673.1756097560975,1818.1337209302326,1306.0802469135801,1424.878125,654.3173076923077,377.2956204379562,1371.9850746268658,731.7254901960785,554.5625,693.7581227436823,302.96451612903223,292.39830508474574,1217.68679245283,408.58984375,238.71428571428572,365.93488372093026,771.0255102040817,292.78819444444446,441.6594827586207,232.20564516129033,395.7620817843866,850.3194444444445,970.7106227106227,409.29957805907173,257.8022284122563,427.8502415458937,1435.042372881356,495.5584415584416,507.3147208121827,320.35222672064776
1,184.07692307692307,257.6923076923077,306.25083612040135,166.84428223844282,206.1065830721003,230.49705882352941,237.08021390374333,303.7859531772575,235.9265734265734,347.4432234432234,207.82820512820513,242.17537313432837,1320.5708955223881,373.4668989547038,152.07309941520467,247.04288939051918,347.2116182572614,523.4364161849711,225.96706586826346,240.89002557544757,381.53003533568904,345.57575757575756,207.05026455026456,158.87385321100916,275.7692307692308,572.9338235294117,238.49579831932772,208.87351778656125,144.89839572192514,601.92578125,447.52713178294573,228.60597014925372,358.15410958904107,529.3666666666667,202.27044025157232,224.8126582278481,299.8715953307393,235.6516129032258,439.4458874458874,352.0378787878788,526.6893617021277,261.8,324.9168704156479,585.1428571428571,419.768,972.1881918819188,544.5794621026895,428.09302325581393,1896.3094339622642,791.4291187739464,532.8613445378152,343.5842696629214,1913.9638554216867,257.9059233449477,396.7011494252874,385.6244725738397,813.5970588235294,403.66847826086956,611.2349570200573,634.7985611510792,995.6551724137931,293.24363636363637,774.7692307692307,299.3181818181818,933.4473684210526,2032.5515695067265,563.9888888888889,656.2384615384616,1243.1224489795918,1532.427027027027,2319.0236966824646,667.0573770491803,671.9321428571428,1592.6245733788396,1487.3024390243902,214.7793103448276,1172.7806691449814,1299.580487804878,1696.906976744186,1407.2222222222222,1178.54375,987.2532051282051,533.1824817518249,1826.3681592039802,882.1176470588235,916.3616071428571,587.5162454873646,435.35483870967744,337.4618644067797,1745.68679245283,629.671875,281.33887043189367,415.48372093023255,1359.2142857142858,367.59375,632.2198275862069,254.18145161290323,791.6988847583643,1123.2777777777778,705.959706959707,634.7552742616034,473.4373259052925,824.7004830917874,1041.7937853107344,596.1255411255411,497.7817258883249,308.4493927125506
2,233.30769230769232,276.4704142011834,476.933110367893,178.1824817518248,212.78056426332287,288.8735294117647,240.51069518716577,329.47491638795987,303.5174825174825,348.9340659340659,233.33846153846153,211.71641791044777,858.776119402985,511.3379790940767,168.53801169590642,321.87584650112865,386.39834024896265,958.1531791907514,240.53293413173654,251.9386189258312,352.97173144876325,398.5068870523416,219.4206349206349,168.32110091743118,244.6813186813187,558.3933823529412,206.5826330532213,256.54150197628456,150.53208556149733,993.51171875,414.1744186046512,254.58507462686566,411.82191780821915,348.3212121212121,452.02830188679246,223.09620253164556,368.52918287937746,328.3354838709677,417.94805194805195,357.6212121212121,535.731914893617,392.1058823529412,356.60635696821515,1124.615763546798,645.476,902.789667896679,628.8606356968215,1271.3798449612402,822.5132075471698,741.0038314176245,791.7016806722689,381.3876404494382,1042.132530120482,235.13240418118468,673.2260536398468,442.48945147679325,1097.5264705882353,1304.608695652174,948.0573065902579,1019.3273381294964,1166.4980842911878,1018.0181818181818,1141.9049773755655,342.2097902097902,753.0361842105264,1148.8206278026905,864.325925925926,637.3423076923077,1292.4897959183672,927.3567567567568,1689.1421800947867,934.1926229508197,1217.2142857142858,1124.60409556314,1501.9268292682927,241.61724137931034,847.7137546468401,959.790243902439,894.2325581395348,838.7901234567901,719.5875,667.4358974358975,576.1167883211679,1282.7810945273632,1414.6029411764705,909.8392857142857,462.05054151624546,597.1032258064516,520.6144067796611,1331.7320754716982,1116.953125,426.56478405315613,435.75348837209305,1167.780612244898,464.56597222222223,823.3362068965517,296.4596774193548,1267.8327137546469,1037.1759259259259,556.8864468864468,1270.5274261603377,636.4066852367688,1193.1690821256038,955.6271186440678,690.5238095238095,579.4263959390863,362.165991902834
3,533.1692307692308,381.3313609467456,859.4548494983278,249.39172749391727,304.01567398119124,315.9823529411765,325.668449197861,461.04013377926424,333.2762237762238,430.0769230769231,253.16666666666666,286.26119402985074,511.1194029850746,756.390243902439,195.46783625730995,376.6365688487585,616.2780082987551,844.6040462427745,288.3203592814371,332.4219948849105,484.8445229681979,602.7355371900826,246.74603174603175,214.9105504587156,345.34065934065933,460.0735294117647,266.2072829131653,420.82213438735175,196.5855614973262,1261.48828125,419.15503875968994,248.78507462686568,502.2431506849315,262.57272727272726,612.7327044025158,535.4531645569621,485.15175097276267,491.1774193548387,502.987012987013,589.9507575757576,458.6,462.56176470588235,341.70660146699265,1475.6305418719212,1279.04,1170.981549815498,599.1051344743277,1060.7248062015503,306.5018867924528,760.8697318007663,1080.8655462184875,696.8426966292135,736.8594377510041,252.0801393728223,788.3793103448276,462.58649789029533,1167.4411764705883,1577.4076086956522,900.78223495702,867.2338129496403,1032.6091954022988,800.4327272727272,1088.447963800905,354.86013986013984,812.5296052631579,622.6188340807175,1580.0222222222221,660.5807692307692,932.1714285714286,532.8324324324325,708.8009478672985,780.827868852459,1125.3857142857144,613.3856655290102,867.8780487804878,251.15862068965518,701.1003717472119,987.0,1231.7325581395348,819.9444444444445,543.309375,521.8076923076923,493.55474452554745,876.681592039801,1012.6176470588235,737.0089285714286,403.2996389891697,793.3387096774194,833.8813559322034,745.6188679245283,1052.234375,456.5481727574751,449.6186046511628,858.2397959183673,460.75347222222223,637.551724137931,332.5846774193548,870.446096654275,955.4027777777778,440.14285714285717,1015.2025316455696,574.5766016713092,915.1835748792271,952.1242937853108,721.7402597402597,572.2842639593908,384.6194331983806
4,883.5346153846153,690.8639053254437,666.6387959866221,251.92700729927006,337.43260188087777,523.2,356.1577540106952,742.5685618729098,414.42657342657344,482.54212454212455,316.58717948717947,292.05223880597015,547.8134328358209,967.7909407665505,333.58479532163744,449.53273137697516,659.8755186721992,825.8728323699422,347.9820359281437,562.6879795396419,1035.9257950530036,571.9531680440772,338.06613756613757,258.098623853211,397.86813186813185,410.44117647058823,404.38655462184875,470.9288537549407,250.40106951871658,769.17578125,564.4263565891473,320.88358208955225,492.2808219178082,354.530303030303,695.003144654088,734.9240506329114,543.1128404669261,461.741935483871,550.0346320346321,817.3484848484849,593.1744680851064,482.0323529411765,305.0880195599022,1550.911330049261,772.224,902.2472324723248,503.99022004889974,927.4922480620155,261.9320754716981,691.2145593869732,918.6008403361344,905.6460674157304,652.0642570281125,238.02787456445992,775.9310344827586,492.9831223628692,818.7735294117647,984.5217391304348,1059.570200573066,512.5935251798561,700.8199233716475,486.3272727272727,958.6968325791855,314.47902097902096,779.5723684210526,634.7668161434977,1464.7222222222222,633.4,667.8489795918367,335.0054054054054,753.5213270142181,708.3770491803278,957.5464285714286,398.20819112627987,664.8780487804878,280.53793103448277,652.8624535315985,1179.4975609756098,1155.8662790697674,701.5802469135803,460.909375,859.2724358974359,461.93065693430657,925.8009950248756,690.9558823529412,627.84375,359.0469314079422,862.2322580645161,931.6355932203389,640.3660377358491,747.4140625,560.3654485049834,604.9069767441861,803.6020408163265,460.35069444444446,851.1594827586207,359.73387096774195,688.3903345724907,794.3379629629629,469.9304029304029,838.3839662447257,514.0612813370474,725.9468599033817,1059.8276836158193,912.5800865800866,835.730964467005,529.5587044534414
5,853.4346153846154,892.1952662721893,751.571906354515,385.53284671532845,364.12539184952976,634.1470588235294,628.24064171123,711.314381270903,704.5104895104895,518.9157509157509,399.9923076923077,321.0559701492537,716.2164179104477,995.0592334494773,333.72514619883043,726.9300225733634,889.1784232365145,840.4595375722544,390.34131736526945,687.5396419437341,1277.416961130742,892.6859504132232,581.8148148148148,365.9036697247706,421.03663003663,410.5477941176471,511.4901960784314,441.9644268774704,468.83422459893046,640.1796875,642.6356589147287,462.6,475.8082191780822,544.3272727272728,861.0471698113207,580.9189873417722,565.5486381322958,382.0290322580645,570.1688311688312,1338.4507575757575,643.2425531914894,659.5676470588236,433.1002444987775,1057.0246305418718,684.716,945.7785977859778,470.51833740831296,704.9108527131783,382.5018867924528,695.1226053639847,738.390756302521,1194.3651685393259,609.004016064257,271.62369337979095,1292.3563218390805,772.0759493670886,651.1176470588235,676.320652173913,930.2664756446991,364.4568345323741,608.1340996168583,414.4290909090909,1253.1402714932126,313.986013986014,668.3421052631579,655.1210762331839,1146.2185185185185,983.8692307692307,558.730612244898,418.8702702702703,848.2227488151659,650.889344262295,787.0928571428572,383.9249146757679,1135.4780487804878,307.07241379310346,579.553903345725,1463.9268292682927,719.7383720930233,581.1666666666666,500.475,962.7628205128206,540.1605839416059,828.8955223880597,721.4509803921569,680.0178571428571,511.56317689530687,1024.883870967742,1428.2457627118645,950.7396226415094,543.98046875,648.4285714285714,603.4651162790698,691.5,474.24652777777777,1190.5905172413793,758.3306451612904,691.6988847583643,835.0833333333334,609.2087912087912,937.1223628691984,538.6211699164345,848.3961352657005,1318.957627118644,1249.3419913419914,1443.8071065989848,789.4736842105264
6,630.7615384615384,708.5029585798817,502.5117056856187,489.0875912408759,424.98746081504703,576.614705882353,953.6844919786096,584.8428093645485,990.6083916083916,681.7472527472528,458.17692307692306,438.79477611940297,963.9179104477612,1026.2299651567944,276.64619883040933,821.9729119638827,1346.149377593361,715.543352601156,493.57185628742513,782.6496163682865,817.5088339222615,1217.3691460055097,1030.5661375661375,697.1238532110092,541.985347985348,953.8676470588235,610.5686274509804,460.8102766798419,751.163101604278,729.84375,513.3294573643411,1067.9373134328357,842.3253424657535,1150.351515151515,705.2547169811321,397.0506329113924,719.6031128404669,547.5193548387097,672.3982683982684,1324.909090909091,835.468085106383,984.6970588235295,754.4352078239609,969.0837438423646,551.952,816.619926199262,761.9755501222494,826.1046511627907,652.222641509434,814.3333333333334,808.1470588235294,1654.2865168539327,794.5823293172691,317.8745644599303,1216.344827586207,1112.8649789029537,545.3205882352942,452.42391304347825,755.0343839541547,298.5071942446043,751.5325670498084,482.12363636363636,1283.7556561085973,356.0034965034965,940.1315789473684,1000.0448430493274,892.4703703703703,1293.5615384615385,850.8367346938776,625.918918918919,985.5734597156398,810.6598360655738,612.675,691.9453924914676,1039.439024390244,323.52758620689656,697.096654275093,1348.3219512195121,912.0232558139535,1327.7469135802469,691.559375,598.9423076923077,806.2810218978102,920.4776119402985,913.3774509803922,843.21875,1273.4332129963898,1017.6322580645161,1430.7966101694915,859.9622641509434,549.578125,591.6910299003322,595.6325581395349,1108.892857142857,510.6388888888889,1453.0172413793102,1417.1370967741937,1181.0743494423791,1025.0740740740741,1242.029304029304,964.0928270042194,569.200557103064,1302.7971014492753,1887.8813559322034,1293.5887445887445,1669.0964467005076,890.251012145749
7,504.66153846153844,490.6094674556213,456.5752508361204,437.3211678832117,570.9717868338558,421.9,1048.6524064171124,610.1404682274248,809.9335664335664,1034.4285714285713,798.6538461538462,545.3246268656717,686.9701492537314,789.2229965156795,223.56432748538012,836.7765237020316,942.4730290456431,696.9797687861271,739.9640718562874,797.9616368286445,653.5759717314488,1042.3305785123966,1112.0899470899471,797.1857798165138,652.3882783882784,1088.610294117647,774.3305322128851,566.1422924901186,715.1737967914438,857.17578125,859.1705426356589,752.4477611940298,1264.9178082191781,900.6696969696969,657.3364779874214,403.56455696202534,801.4474708171206,945.4290322580645,1122.6277056277056,1297.2272727272727,1154.5787234042552,1182.7970588235294,1344.8117359413202,1245.2413793103449,425.98,875.4723247232472,1345.3374083129584,1065.0658914728683,802.3509433962264,872.4827586206897,1134.7478991596638,1251.8483146067415,824.7871485943775,422.86411149825784,1144.528735632184,1632.3164556962026,806.0029411764706,375.76630434782606,856.1661891117478,395.2014388489209,915.4061302681993,634.7818181818182,954.6561085972851,459.0104895104895,1190.625,993.8071748878924,822.7888888888889,1101.5807692307692,1337.265306122449,1249.6108108108108,847.6018957345972,1124.045081967213,600.65,989.8600682593857,970.1756097560975,387.5827586206897,814.2044609665428,1055.2731707317073,820.703488372093,1343.6666666666667,933.753125,485.7724358974359,1352.9379562043796,900.820895522388,1064.6176470588234,1141.34375,1213.9097472924188,720.9741935483871,835.3008474576271,889.5018867924529,872.9921875,641.1362126245847,576.6279069767442,1071.6734693877552,705.1493055555555,1456.0172413793102,874.2016129032259,1109.0297397769516,1247.111111111111,1247.4358974358975,1256.6413502109704,517.0139275766016,1626.9420289855072,1974.7937853107344,1340.1818181818182,1140.8984771573605,1156.1497975708503
8,438.3,477.6775147928994,409.628762541806,665.6131386861314,743.9216300940438,408.7970588235294,843.8155080213904,737.6254180602007,619.4825174825174,1243.8974358974358,1134.4923076923078,903.7164179104477,499.10074626865674,564.8048780487804,234.31578947368422,610.1873589164785,739.0082987551867,919.8265895953757,537.7365269461078,729.5907928388747,551.5123674911661,768.1928374655647,703.5343915343915,903.2912844036697,1175.5787545787546,690.1801470588235,777.1736694677871,735.5138339920949,614.7540106951872,717.14453125,1145.8255813953488,892.7850746268657,998.6917808219179,886.3272727272728,651.6446540880503,487.0253164556962,1103.5603112840467,961.9806451612903,770.3290043290043,1120.3598484848485,820.2851063829787,923.9323529411764,1137.2151589242053,1065.128078817734,1000.528,684.0738007380074,1069.7530562347188,1124.2790697674418,554.2641509433962,1175.5632183908046,1028.0378151260504,846.7191011235955,600.5983935742972,561.9059233449477,783.0919540229885,1252.8101265822784,1002.15,310.7826086956522,743.541547277937,565.6510791366907,921.7969348659004,750.0109090909091,644.8552036199095,636.2132867132867,1048.3651315789473,892.1434977578475,658.0555555555555,867.5423076923076,930.5673469387755,1216.7351351351351,659.0805687203791,1203.1844262295083,768.8821428571429,703.3686006825939,859.790243902439,575.9758620689655,891.7063197026023,628.619512195122,502.88953488372096,889.0555555555555,895.6625,804.7692307692307,1104.9270072992701,633.2388059701492,975.0784313725491,1332.1785714285713,666.2490974729242,586.5451612903225,817.8983050847457,748.5056603773585,999.23828125,671.5813953488372,480.13023255813954,761.295918367347,947.5451388888889,1344.573275862069,666.608870967742,817.9442379182157,1172.8148148148148,908.0989010989011,1295.2869198312237,448.1058495821727,1411.280193236715,2206.8192090395482,1024.95670995671,767.269035532995,1060.7004048582996
9,535.2192307692308,449.5147928994083,396.7157190635451,596.8515815085158,813.5736677115988,582.8352941176471,490.19786096256684,715.7993311036789,527.6958041958042,714.3113553113553,598.4333333333333,815.6716417910447,588.1007462686567,478.91289198606273,460.1929824561403,476.6297968397291,549.8755186721992,907.8121387283237,500.20359281437123,638.2915601023018,528.1024734982332,553.4132231404959,386.5291005291005,511.6032110091743,927.959706959707,426.9889705882353,872.5238095238095,1147.4545454545455,474.5,534.65234375,880.3527131782946,877.6567164179105,532.2808219178082,680.9151515151515,539.4685534591194,405.40759493670885,984.3229571984435,607.0354838709677,649.4285714285714,721.0530303030303,639.6382978723404,511.6264705882353,829.2029339853301,877.3251231527094,702.344,627.070110701107,708.6503667481662,1102.4418604651162,463.6490566037736,838.007662835249,1120.6638655462184,608.056179775281,514.1325301204819,537.4355400696865,764.8084291187739,1319.0168776371308,1005.9382352941177,329.9782608695652,877.458452722063,730.9640287769785,994.7164750957854,981.3854545454545,552.9276018099547,924.993006993007,799.5559210526316,718.8923766816143,676.6222222222223,969.1769230769231,1050.2204081632653,1064.372972972973,878.8909952606635,852.516393442623,941.5714285714286,729.3822525597269,682.4634146341464,724.0620689655173,902.5353159851301,408.5609756097561,361.6279069767442,666.1975308641976,1111.15625,954.9166666666666,773.1715328467153,442.8606965174129,850.2892156862745,1004.75,521.0036101083033,453.2903225806452,875.2881355932203,711.0264150943397,878.734375,880.5548172757475,362.54418604651164,896.6530612244898,1047.1215277777778,1210.6939655172414,831.2983870967741,775.8996282527881,1029.3101851851852,1092.2271062271063,984.8649789029536,386.3649025069638,1378.1256038647343,2124.008474576271,884.5930735930735,962.1725888324873,837.6882591093117
