Frame,Cell_74,Cell_77,Cell_78,Cell_81,Cell_82,Cell_87,Cell_88,Cell_91,Cell_92,Cell_93,Cell_94,Cell_95,Cell_98,Cell_99,Cell_103,Cell_105,Cell_106,Cell_107,Cell_108,Cell_111,Cell_112,Cell_113,Cell_114,Cell_115,Cell_118,Cell_123,Cell_124,Cell_126,Cell_129,Cell_130,Cell_131,Cell_134,Cell_135,Cell_137,Cell_140,Cell_141,Cell_142,Cell_143,Cell_145,Cell_149,Cell_151,Cell_152,Cell_157,Cell_159,Cell_160,Cell_161,Cell_163,Cell_166,Cell_167,Cell_168,Cell_173,Cell_174,Cell_177,Cell_180,Cell_181,Cell_183,Cell_187,Cell_189,Cell_191,Cell_193,Cell_194,Cell_196,Cell_199,Cell_201,Cell_203,Cell_206,Cell_207,Cell_214,Cell_218,Cell_219,Cell_221,Cell_222,Cell_223,Cell_225,Cell_226,Cell_229,Cell_230,Cell_233,Cell_234
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,828.2705167173252,338.8121693121693,314.1640866873065,224.10746268656717,277.13256484149855,350.02536231884056,692.5471124620061,610.8508158508158,494.7584097859327,892.3865030674847,965.8668730650155,508.3489932885906,509.9125,902.1473684210526,859.7524752475248,426.7134670487106,783.1324041811847,710.4896373056995,474.8817204301075,353.15384615384613,1042.637630662021,579.5528455284552,371.0943396226415,930.0927601809955,834.207492795389,555.5542986425339,566.356783919598,1355.3305785123966,834.344262295082,1111.149090909091,701.429104477612,783.5114503816794,945.3579234972677,608.5483870967741,835.4347826086956,1453.6178861788617,1065.8648648648648,871.2122093023256,747.6889632107024,1112.774193548387,885.9702380952381,884.9467680608365,1058.6102362204724,514.7225672877847,1076.1724137931035,344.9064171122995,586.2699619771863,1192.8007662835248,759.2977777777778,844.5855421686747,652.0862619808307,1198.846889952153,558.5979020979021,464.3837209302326,1385.1350364963503,1120.7904761904763,817.0385604113111,1490.2372881355932,1422.5697674418604,651.5951417004048,661.152,1492.2335766423357,1429.1416666666667,1118.5584905660378,1172.1183431952663,939.8883720930232,605.3503649635037,1466.5362903225807,568.2008032128514,726.9508928571429,1093.4747474747476,516.0109289617486,1382.7800687285223,377.1341463414634,870.9506726457399,423.55918367346936,529.0168918918919,910.1859296482412,984.9483568075117
2,553.5106382978723,827.6349206349206,294.3529411764706,347.3044776119403,562.3804034582132,712.927536231884,1090.3130699088147,601.8741258741259,449.18042813455656,675.4171779141104,667.5572755417957,597.6812080536913,519.625,569.5526315789474,1082.8349834983499,311.1805157593123,536.0278745644599,360.05440414507774,650.4731182795699,386.1293706293706,1066.5783972125435,724.0325203252032,401.6264150943396,851.8891402714933,1169.1325648414986,1025.9660633484164,546.2738693467337,678.00826446281,906.120218579235,1233.2072727272728,668.7425373134329,559.6145038167939,593.327868852459,856.3951612903226,1240.0553359683795,923.3821138211382,763.2747747747748,579.8023255813954,1216.23745819398,1266.7972350230414,1191.327380952381,556.2509505703422,1025.3661417322835,751.0144927536232,635.9341692789968,253.3716577540107,1152.4562737642586,920.3793103448276,1241.8177777777778,1290.4,1272.6773162939296,1233.468899521531,731.9020979020979,612.5426356589147,1130.2518248175184,1063.557142857143,983.7892030848329,1671.0254237288136,1251.7984496124031,1033.910931174089,520.176,993.9525547445255,1591.3541666666667,962.8264150943396,1134.603550295858,733.0790697674419,931.1605839416059,1252.657258064516,754.9156626506024,805.1741071428571,839.2222222222222,532.2622950819672,1120.8316151202748,875.410569105691,695.4035874439462,474.46530612244896,515.777027027027,1404.6482412060302,1269.1267605633802
3,481.18237082066867,683.936507936508,238.8513931888545,775.9940298507463,715.6051873198847,711.7282608695652,731.9118541033434,827.5314685314685,856.816513761468,603.8588957055215,540.0588235294117,650.8859060402684,585.13125,385.0763157894737,492.3762376237624,196.74498567335243,728.2369337979094,257.25129533678756,854.426523297491,386.958041958042,1205.8048780487804,1126.0081300813008,526.2301886792453,528.7556561085972,604.7319884726224,973.6945701357466,1102.4447236180904,470.43801652892563,981.5464480874317,1235.989090909091,1068.0335820895523,409.3473282442748,915.7021857923497,1247.9301075268818,1217.3794466403162,444.2682926829268,602.7027027027027,1195.2906976744187,1054.2040133779265,562.8571428571429,1193.0982142857142,390.3231939163498,745.3661417322835,740.8674948240166,1166.0815047021943,243.13903743315507,1445.3574144486693,911.6015325670498,1493.3377777777778,1101.5421686746988,1219.9520766773162,1386.5358851674641,1336.2237762237762,661.1589147286821,1562.7554744525548,819.6142857142858,814.0745501285347,1061.2584745762713,692.796511627907,1249.2024291497976,411.408,824.014598540146,1117.4375,498.3320754716981,823.8994082840237,517.3348837209302,1088.6715328467153,1039.616935483871,978.8795180722891,1290.9017857142858,816.4141414141415,508.9672131147541,721.4776632302405,1404.7032520325204,608.1973094170404,676.8081632653061,1156.7668918918919,1369.964824120603,1329.4225352112676
4,504.72036474164133,238.45502645502646,188.42414860681114,876.2059701492537,461.31412103746396,354.9130434782609,347.2218844984802,667.7832167832167,758.269113149847,189.39877300613497,358.89473684210526,455.96308724832215,1073.45625,728.0263157894736,367.26402640264024,157.46991404011462,595.98606271777,225.95854922279793,1108.584229390681,578.3986013986014,737.8780487804878,936.7317073170732,1171.5622641509433,338.2556561085973,334.93659942363115,344.83031674208144,543.6758793969849,486.6363636363636,720.7349726775956,637.0981818181818,1188.6492537313434,371.89312977099235,574.5710382513661,796.4301075268817,593.403162055336,375.0772357723577,386.7837837837838,686.3488372093024,1133.7792642140469,693.4654377880184,615.9583333333334,265.4220532319392,530.7125984251968,722.776397515528,544.0,192.2139037433155,1138.3802281368821,785.9310344827586,985.7733333333333,570.5518072289157,804.8817891373802,950.0765550239234,937.0104895104895,625.8217054263566,719.4379562043796,625.0761904761905,657.8020565552699,564.021186440678,403.0717054263566,1179.9433198380566,356.792,755.3978102189781,865.9625,284.4566037735849,915.5384615384615,916.0651162790698,557.7189781021898,783.8709677419355,831.0522088353414,1208.7455357142858,797.8434343434343,516.8579234972677,495.9209621993127,737.9715447154472,566.1434977578475,1557.5877551020408,1200.8445945945946,660.1105527638191,1193.7558685446008
5,207.65045592705167,105.20899470899471,161.74922600619195,316.96119402985073,240.53314121037465,209.04347826086956,152.79939209726444,311.54312354312356,782.5749235474007,140.20552147239263,229.56346749226006,272.3322147651007,896.965625,975.7394736842106,348.2706270627063,311.74498567335246,437.0975609756098,188.94818652849742,739.5412186379929,828.6853146853147,330.22996515679444,704.8048780487804,891.0754716981132,186.5995475113122,299.80115273775215,354.0565610859729,239.39195979899498,459.9669421487603,358.8251366120219,248.19636363636363,553.6156716417911,449.1374045801527,232.1639344262295,461.2741935483871,289.0,240.28861788617886,215.81981981981983,334.26453488372096,497.82608695652175,454.2027649769585,261.3690476190476,208.5703422053232,326.66141732283467,589.1055900621118,254.34796238244513,150.83155080213905,896.4220532319391,865.2068965517242,572.6444444444444,304.8987951807229,412.517571884984,527.5119617224881,516.7062937062936,513.1782945736434,380.3941605839416,536.9380952380952,460.09254498714654,730.1949152542373,327.3779069767442,691.0890688259109,369.22,536.1350364963504,618.6291666666667,221.50943396226415,963.5473372781065,877.046511627907,380.2116788321168,571.7782258064516,591.3253012048193,720.0044642857143,866.5858585858585,432.1639344262295,576.9072164948453,466.9349593495935,552.6053811659193,1010.8,1017.9256756756756,450.286432160804,883.4694835680751
6,155.49240121580547,95.65079365079364,147.0247678018576,162.97910447761194,179.45244956772333,161.2355072463768,121.56838905775076,193.5967365967366,334.3394495412844,138.82208588957056,189.1640866873065,180.66778523489933,440.784375,619.1421052631579,213.88778877887788,383.46418338108884,358.79442508710804,154.2642487046632,379.96774193548384,766.4685314685315,192.16376306620208,419.0081300813008,471.66415094339624,161.95701357466064,258.78386167146977,384.8981900452489,194.53768844221105,310.0110192837466,202.80601092896174,169.0290909090909,331.6529850746269,401.31297709923666,137.3306010928962,257.8198924731183,167.87747035573122,193.4390243902439,172.51351351351352,198.60174418604652,250.05016722408027,304.6774193548387,181.43154761904762,268.20152091254755,220.33464566929135,422.17184265010354,179.24451410658307,140.83689839572193,448.1596958174905,1040.727969348659,338.6,179.29156626506025,235.80511182108626,305.20095693779905,308.15734265734267,376.984496124031,245.3941605839416,1316.2761904761905,392.3701799485861,693.8940677966102,289.9593023255814,462.01214574898785,447.324,339.85766423357666,389.3541666666667,220.2754716981132,574.4408284023668,511.53953488372093,266.24087591240874,434.6975806451613,427.0240963855422,566.6607142857143,910.0858585858585,393.3497267759563,506.5704467353952,418.1626016260163,494.4887892376682,1159.3224489795919,1621.043918918919,754.9849246231156,592.037558685446
7,206.40729483282675,104.0952380952381,175.9752321981424,112.08358208955224,163.27377521613832,160.15579710144928,127.37082066869301,151.72960372960372,163.11009174311926,137.85889570552146,193.80495356037153,145.53020134228188,249.94375,373.9789473684211,154.52475247524754,251.55587392550143,407.7177700348432,140.33678756476684,236.74551971326164,716.8776223776224,183.390243902439,362.4024390243902,283.18490566037735,140.8846153846154,228.5187319884726,275.29411764705884,161.11306532663318,240.11845730027548,149.77868852459017,158.94181818181818,499.160447761194,263.35114503816794,130.41256830601094,157.8978494623656,131.02371541501975,369.9308943089431,171.63513513513513,155.75,213.22073578595317,239.00460829493088,144.83333333333334,282.638783269962,194.9251968503937,309.9130434782609,143.93103448275863,197.04010695187165,263.97338403041823,954.5747126436781,209.05777777777777,152.78313253012047,173.15654952076676,315.511961722488,225.3006993006993,298.9031007751938,229.29562043795622,1806.7380952380952,356.4344473007712,858.3771186440678,532.9263565891473,302.79352226720647,374.504,278.6131386861314,273.725,208.61509433962263,502.5266272189349,300.0093023255814,243.13138686131387,324.52016129032256,365.859437751004,494.35267857142856,781.459595959596,364.44262295081967,333.22680412371136,380.8292682926829,427.31390134529147,1375.069387755102,1240.8243243243244,822.3668341708543,373.6807511737089
8,419.7841945288754,117.25661375661376,189.30340557275542,116.4,307.0835734870317,148.731884057971,146.5775075987842,148.82750582750583,134.8256880733945,152.49079754601226,188.42414860681114,170.5704697986577,166.828125,222.2263157894737,179.73927392739273,176.7621776504298,383.96515679442507,126.52072538860104,258.7956989247312,450.77272727272725,188.42857142857142,322.130081300813,180.8679245283019,142.9185520361991,198.43515850144092,206.59049773755657,177.93467336683418,215.33608815426996,136.93169398907105,165.71636363636364,711.3358208955224,195.4732824427481,131.97814207650273,134.747311827957,133.0513833992095,586.0365853658536,184.94594594594594,149.96802325581396,208.09698996655518,237.5668202764977,151.57738095238096,265.41444866920153,221.46456692913387,238.33954451345755,148.13166144200628,213.49197860962568,211.5703422053232,540.528735632184,172.11555555555555,146.7253012048193,166.3897763578275,305.82296650717706,188.979020979021,278.7325581395349,190.66788321167883,906.4190476190477,299.2390745501285,707.2245762711865,511.6162790697674,283.4331983805668,310.228,269.16058394160586,219.2625,190.21132075471698,506.92011834319527,263.93488372093026,215.14598540145985,313.875,314.3293172690763,390.85714285714283,509.74747474747477,352.3606557377049,246.00687285223367,317.890243902439,372.86995515695065,1177.2897959183674,619.7601351351351,666.9597989949749,250.61971830985917
9,130.4224924012158,150.2962962962963,274.91640866873064,140.2865671641791,261.8242074927954,170.20652173913044,167.03951367781156,359.54079254079255,146.05504587155963,146.49386503067484,276.64396284829724,207.68456375838926,182.440625,195.6,282.76237623762376,143.55014326647566,307.35540069686414,235.55958549222797,434.10035842293905,173.45104895104896,175.68641114982577,219.3821138211382,199.30943396226414,180.59728506787332,201.88760806916426,163.90271493212668,209.85175879396985,215.93388429752065,149.56284153005464,195.45818181818183,262.84328358208955,226.58396946564886,133.12295081967213,117.98387096774194,265.34387351778656,458.8089430894309,333.36486486486484,155.1656976744186,201.74247491638795,238.9447004608295,152.73809523809524,258.43726235741445,236.91732283464566,238.90683229813664,181.57993730407523,278.72727272727275,278.25475285171103,251.01149425287358,255.58666666666667,180.3132530120482,199.5143769968051,425.1291866028708,201.17832167832168,290.2829457364341,196.9890510948905,568.9428571428572,309.19280205655525,380.90677966101697,342.9031007751938,299.3927125506073,299.692,493.11678832116786,215.58333333333334,225.40754716981132,579.5591715976332,273.5627906976744,250.75912408759123,341.8346774193548,282.6586345381526,306.70535714285717,409.2020202020202,558.9617486338798,243.56357388316152,438.5487804878049,331.0493273542601,693.9918367346938,451.9054054054054,227.10552763819095,490.15023474178406
